hub_type,hub_variant,target_region,land_cost_lakh_bdt,warehouse_construction_lakh_bdt,cold_storage_unit_lakh_bdt,rice_mill_lakh_bdt,oil_mill_lakh_bdt,flour_mill_lakh_bdt,dryer_machine_lakh_bdt,office_training_room_lakh_bdt,solar_panel_lakh_bdt,furniture_equipment_lakh_bdt,total_setup_cost_lakh_bdt,permanent_staff_count,seasonal_staff_count,annual_salary_cost_lakh_bdt,annual_maintenance_cost_lakh_bdt,annual_utility_cost_lakh_bdt,total_annual_operating_cost_lakh_bdt,estimated_national_hub_count,total_national_setup_cost_crore_bdt,total_national_annual_cost_crore_bdt,total_national_permanent_jobs,total_national_seasonal_jobs,storage_capacity_mt,data_reliability
ward,oilseed_zone,South/Coastal,7.0,20.0,0,4.0,6.5,0,0,6.0,5.0,4.0,52.5,4,6,3.6,1.8,0.9,6.3,8000,4200.0,504.0,32000,48000,75,estimated
ward,potato_maize_zone,North,8.0,22.0,12.0,4.5,0,3.0,0,6.0,5.0,4.0,64.5,5,8,4.2,2.0,1.0,7.2,8000,5160.0,576.0,40000,64000,80,estimated
ward,soybean_char_zone,Char/Coast,6.0,18.0,0,4.0,6.0,0,0,6.0,5.0,4.0,49.0,4,6,3.6,1.6,0.8,6.0,5000,2450.0,300.0,20000,30000,65,estimated
ward,onion_barind_zone,West/Barind,7.0,20.0,0,4.5,5.0,2.5,4.0,6.0,5.0,4.0,58.0,5,7,4.0,1.9,0.9,6.8,6000,3480.0,408.0,30000,42000,75,estimated
ward,hilly_zone,Hills,6.0,16.0,0,3.0,0,0,4.0,5.0,4.5,3.5,42.0,3,5,2.8,1.4,0.7,4.9,6000,2520.0,294.0,18000,30000,55,estimated
union,union_storage,All Rural,10.0,30.0,0,0,0,0,0,5.0,4.0,3.5,52.5,3,2,2.4,1.2,0.6,4.2,4571,2399.8,191.98,13713,9142,150,estimated
district,district_center,District HQ,20.0,45.0,0,0,0,0,0,7.0,5.0,220.0,297.0,8,4,7.2,4.5,1.8,13.5,64,190.08,8.64,512,256,500,estimated
city_outlet,city_sales_point,Cities,18.0,15.0,0,0,0,0,0,3.0,3.0,4.0,43.0,2,2,1.8,0.8,0.5,3.1,500,215.0,15.5,1000,1000,40,estimated
